Количество голосов;Гражданские;Либералы;Левые;Националисты
0;636;17483;24928;31029
1;6247;10198;9702;9650
2;997;5947;5618;4462
3;1050;5055;4227;5843
4;896;3498;2912;2193
5;1268;23367;18161;12371
6;997;0;0;0
7;993;0;0;0
8;1030;0;0;0
9;989;0;0;0
10;1154;0;0;0
11;1003;0;0;0
12;987;0;0;0
13;937;0;0;0
14;1032;0;0;0
15;1164;0;0;0
16;1021;0;0;0
17;1094;0;0;0
18;1104;0;0;0
19;998;0;0;0
20;1296;0;0;0
21;1029;0;0;0
22;1061;0;0;0
23;1041;0;0;0
24;1043;0;0;0
25;1074;0;0;0
26;1094;0;0;0
27;992;0;0;0
28;1023;0;0;0
29;964;0;0;0
30;29334;0;0;0
