Количтсво кандидатов прошедших в КС;Все;Гражданские;Либералы;Левые;Националисты
0;1425;7440;23398;31853;34644
1;2212;3557;12122;17630;12104
2;2261;1506;11500;10236;8855
3;2747;1675;12749;3254;8766
4;1709;1695;5378;2563;1122
5;1807;1950;401;12;57
6;1717;1728;0;0;0
7;2006;1767;0;0;0
8;1938;1866;0;0;0
9;2074;2035;0;0;0
10;2029;2201;0;0;0
11;1972;2289;0;0;0
12;2038;2550;0;0;0
13;2000;2727;0;0;0
14;2119;2945;0;0;0
15;2330;3076;0;0;0
16;2389;3327;0;0;0
17;2536;3380;0;0;0
18;2591;3559;0;0;0
19;2836;3423;0;0;0
20;2816;3108;0;0;0
21;2931;2741;0;0;0
22;2903;2222;0;0;0
23;2798;1476;0;0;0
24;2520;828;0;0;0
25;2241;340;0;0;0
26;1876;116;0;0;0
27;1534;20;0;0;0
28;1114;1;0;0;0
29;829;0;0;0;0
30;593;0;0;0;0
31;329;0;0;0;0
32;204;0;0;0;0
33;86;0;0;0;0
34;21;0;0;0;0
35;15;0;0;0;0
36;2;0;0;0;0
37;0;0;0;0;0
38;0;0;0;0;0
39;0;0;0;0;0
40;0;0;0;0;0
41;0;0;0;0;0
42;0;0;0;0;0
43;0;0;0;0;0
44;0;0;0;0;0
45;0;0;0;0;0
